TestID,Category,Module / Page,Test Case,Method,Environment,Status,Observed Result (evidence),Executed At
WEB-FI-00150,Compatibility,Dashboard,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:43:58.759Z
WEB-FI-00151,Compatibility,Dashboard,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:43:59.195Z
WEB-FI-00152,Compatibility,Sleep Tracker,responsive_mobile-small_320x568,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 320x568 (mobile-small),2026-07-27T23:44:00.261Z
WEB-FI-00153,Compatibility,Sleep Tracker,responsive_mobile_375x812,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 375x812 (mobile),2026-07-27T23:44:01.195Z
WEB-FI-00154,Compatibility,Sleep Tracker,responsive_tablet_768x1024,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 768x1024 (tablet),2026-07-27T23:44:01.640Z
WEB-FI-00155,Compatibility,Sleep Tracker,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:44:02.084Z
WEB-FI-00156,Compatibility,Sleep Tracker,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:44:02.526Z
WEB-FI-00157,Compatibility,Phone Usage,responsive_mobile-small_320x568,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 320x568 (mobile-small),2026-07-27T23:44:03.601Z
WEB-FI-00158,Compatibility,Phone Usage,responsive_mobile_375x812,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 375x812 (mobile),2026-07-27T23:44:04.553Z
WEB-FI-00159,Compatibility,Phone Usage,responsive_tablet_768x1024,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 768x1024 (tablet),2026-07-27T23:44:04.996Z
WEB-FI-00160,Compatibility,Phone Usage,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:44:05.437Z
WEB-FI-00161,Compatibility,Phone Usage,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:44:05.871Z
WEB-FI-00162,Compatibility,Emotion Analysis,responsive_mobile-small_320x568,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 320x568 (mobile-small),2026-07-27T23:44:06.948Z
WEB-FI-00163,Compatibility,Emotion Analysis,responsive_mobile_375x812,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 375x812 (mobile),2026-07-27T23:44:07.881Z
WEB-FI-00164,Compatibility,Emotion Analysis,responsive_tablet_768x1024,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 768x1024 (tablet),2026-07-27T23:44:08.322Z
WEB-FI-00165,Compatibility,Emotion Analysis,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:44:08.765Z
WEB-FI-00166,Compatibility,Emotion Analysis,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:44:09.199Z
WEB-FI-00167,Compatibility,Activity Tracker,responsive_mobile-small_320x568,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 320x568 (mobile-small),2026-07-27T23:44:10.276Z
WEB-FI-00168,Compatibility,Activity Tracker,responsive_mobile_375x812,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 375x812 (mobile),2026-07-27T23:44:11.205Z
WEB-FI-00169,Compatibility,Activity Tracker,responsive_tablet_768x1024,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 768x1024 (tablet),2026-07-27T23:44:11.648Z
WEB-FI-00170,Compatibility,Activity Tracker,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:44:12.090Z
WEB-FI-00171,Compatibility,Activity Tracker,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:44:12.525Z
WEB-FI-00172,Compatibility,Recommendations,responsive_mobile-small_320x568,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 320x568 (mobile-small),2026-07-27T23:44:13.594Z
WEB-FI-00173,Compatibility,Recommendations,responsive_mobile_375x812,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 375x812 (mobile),2026-07-27T23:44:14.524Z
WEB-FI-00174,Compatibility,Recommendations,responsive_tablet_768x1024,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 768x1024 (tablet),2026-07-27T23:44:14.965Z
WEB-FI-00175,Compatibility,Recommendations,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:44:15.415Z
WEB-FI-00176,Compatibility,Recommendations,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:44:15.849Z
WEB-FI-00177,Compatibility,Analytics,responsive_mobile-small_320x568,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 320x568 (mobile-small),2026-07-27T23:44:16.914Z
WEB-FI-00178,Compatibility,Analytics,responsive_mobile_375x812,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 375x812 (mobile),2026-07-27T23:44:17.845Z
WEB-FI-00179,Compatibility,Analytics,responsive_tablet_768x1024,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 768x1024 (tablet),2026-07-27T23:44:18.286Z
WEB-FI-00180,Compatibility,Analytics,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:44:18.726Z
WEB-FI-00181,Compatibility,Analytics,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:44:19.162Z
WEB-FI-00182,Compatibility,Wellness Chat,responsive_mobile-small_320x568,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 320x568 (mobile-small),2026-07-27T23:44:20.235Z
WEB-FI-00183,Compatibility,Wellness Chat,responsive_mobile_375x812,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 375x812 (mobile),2026-07-27T23:44:21.172Z
WEB-FI-00184,Compatibility,Wellness Chat,responsive_tablet_768x1024,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 768x1024 (tablet),2026-07-27T23:44:21.617Z
WEB-FI-00185,Compatibility,Wellness Chat,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:44:22.058Z
WEB-FI-00186,Compatibility,Wellness Chat,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:44:22.492Z
WEB-FI-00187,Compatibility,Profile,responsive_mobile-small_320x568,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 320x568 (mobile-small),2026-07-27T23:44:23.575Z
WEB-FI-00188,Compatibility,Profile,responsive_mobile_375x812,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 375x812 (mobile),2026-07-27T23:44:24.504Z
WEB-FI-00189,Compatibility,Profile,responsive_tablet_768x1024,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 768x1024 (tablet),2026-07-27T23:44:24.945Z
WEB-FI-00190,Compatibility,Profile,responsive_desktop_1440x900,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1440x900 (desktop),2026-07-27T23:44:25.389Z
WEB-FI-00191,Compatibility,Profile,responsive_desktop-large_1920x1080,UI,Web (React/Vite @ 127.0.0.1:3000) — firefox real browser engine,Pass,Renders content at 1920x1080 (desktop-large),2026-07-27T23:44:25.825Z
